family,commodity,name,reference product,location,unit
aluminium_primary,"aluminium, primary","Aluminium, primary, at plant","Aluminium, primary, at plant",RER,kilogram
antimony,antimony,"Antimony, at refinery","Antimony, at refinery",CN,kilogram
asbestos,asbestos,"Asbestos, crysotile type, at plant","Asbestos, crysotile type, at plant",GLO,kilogram
barite,barite,"Barite, at plant","Barite, at plant",RER,kilogram
bauxite,bauxite,"Bauxite, at mine","Bauxite, at mine",GLO,kilogram
bentonite,bentonite,"Bentonite, at processing","Bentonite, at processing",DE,kilogram
borate,borate,"Calcium borates, at plant","Calcium borates, at plant",TR,kilogram
borate,borate,"Sodium borates, at plant","Sodium borates, at plant",US,kilogram
cadmium,cadmium,"Cadmium, primary, at plant","Cadmium, primary, at plant",GLO,kilogram
chromite,chromite,"Chromite, ore concentrate, at beneficiation","Chromite, ore concentrate, at beneficiation",GLO,kilogram
cobalt,cobalt,"Cobalt, at plant","Cobalt, at plant",GLO,kilogram
copper_concentrate,copper concentrate,"Copper concentrate, at beneficiation","Copper concentrate, at beneficiation",GLO,kilogram
copper_concentrate,copper concentrate,"Copper concentrate, at beneficiation","Copper concentrate, at beneficiation",ID,kilogram
copper_concentrate,copper concentrate,"Copper concentrate, at beneficiation","Copper concentrate, at beneficiation",RAS,kilogram
copper_concentrate,copper concentrate,"Copper concentrate, at beneficiation","Copper concentrate, at beneficiation",RER,kilogram
copper_concentrate,copper concentrate,"Copper concentrate, at beneficiation","Copper concentrate, at beneficiation",RLA,kilogram
copper_concentrate,copper concentrate,"Copper concentrate, at beneficiation","Copper concentrate, at beneficiation",US,kilogram
feldspar,feldspar,"Feldspar, at plant","Feldspar, at plant",RER,kilogram
fluorspar,fluorspar,"Fluorspar, 97%, at plant","Fluorspar, 97%, at plant",GLO,kilogram
gold,gold,"Gold, at refinery","Gold, at refinery",AU,kilogram
gold,gold,"Gold, at refinery","Gold, at refinery",CA,kilogram
gold,gold,"Gold, at refinery","Gold, at refinery",TZ,kilogram
gold,gold,"Gold, at refinery","Gold, at refinery",US,kilogram
gold,gold,"Gold, at refinery","Gold, at refinery",ZA,kilogram
gold,gold,"Gold, at regional storage","Gold, at regional storage",RER,kilogram
gold,gold,"Gold, from combined gold-silver production, at refinery","Gold, from combined gold-silver production, at refinery",CL,kilogram
gold,gold,"Gold, from combined gold-silver production, at refinery","Gold, from combined gold-silver production, at refinery",PE,kilogram
gold,gold,"Gold, from combined gold-silver production, at refinery","Gold, from combined gold-silver production, at refinery",PG,kilogram
gold,gold,"Gold, from combined metal production, at beneficiation","Gold, from combined metal production, at beneficiation",SE,kilogram
gold,gold,"Gold, from combined metal production, at refinery","Gold, from combined metal production, at refinery",SE,kilogram
gold,gold,"Gold, primary, at refinery","Gold, primary, at refinery",GLO,kilogram
gold,gold,"Gold, secondary, at precious metal refinery","Gold, secondary, at precious metal refinery",SE,kilogram
graphite,graphite,"Graphite, at plant","Graphite, at plant",RER,kilogram
graphite,graphite,"Graphite, battery grade, at plant","Graphite, battery grade, at plant",CN,kilogram
gypsum_mineral,"gypsum, mineral","Gypsum, mineral, at mine","Gypsum, mineral, at mine",CH,kilogram
hard_coal,hard coal,"Hard coal mix, at regional storage","Hard coal mix, at regional storage",UCTE,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,AT,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,BE,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,CN,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,CZ,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,DE,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,ES,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,FR,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,HR,kilogram
hard_coal,hard coal,Hard coal supply mix,Hard coal supply mix,IN,kilogram
